id,name,alternate_roles,keywords
139,Project Manager,"Product Manager, Project Engineer","Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Coordinator, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer,Project, Product, Program"
140,Project Management Internship,"Project Management, Program Manager, Project Engineer","Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Coordinator, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer, Project, Product manager, product, Program manager"
141,python developer,"Python, aws developer, Python Engineer, Python Programmer, Flask Developer","Python, AWS, Python Developer, Python Engineer, Python Programmer, Python Software Developer, Python Web Developer, Python Backend Developer, Backend Developer (Python), Full Stack Developer (Python), Django Developer, Flask Developer, Python Automation Developer, Python Scripting Developer, Python API Developer, Python Application Developer, Python Consultant, Python Technical Specialist, Software Engineer (Python), ML Engineer (Python), AI Developer (Python), Data Engineer (Python), Python Data Analyst, Scientific Python Developer, Embedded Python Developer, Python Systems Developer, Python Integration Developer, AWS Developer (Python), Cloud Developer (Python), AWS Lambda Developer (Python), Data Analyst, Data Scientist, Machine Learning, ML, Artificial Intelligence, AI"
142,Quality Engineer,"Automation Engineer, Testing Engieer","QA, Quality Assurance, Quality, Test Engineer, Process Engineer, Process Technologist, Product Assurance, Automation, Quality Systems, Controls Engineer, Controls Technologist, SDET, Manual Tester, Testing Analyst, Testing Specialist, DataOps, Testing, Automation Testing, Functional Testing, Regression Testing, Smoke Testing, UAT, POM, Page Object Model, Test Automation Framework, REST API Testing, UI Testing, Firmware Testing, SDET, Automation Engineer, Test Engineer, Software QA, Quality Systems, Controls Engineer, Product Assurance, Assurance"
143,Regulatory Affairs,"Clinical Research, Quality Assurance, Quality Check, Pharmacovigilence","Pharmacovigilance, Quality Assurance, QA, Quality Check, QC, Regulatory Affairs, Regulatory, Clinical, Quality, Regulatory Analyst, Clinical Reseach Coordinator, Regulatory Operations Coordinator, Compliance Officer, Drug, Drug Safety, Regulatory Affairs, Regulatory Policy, Regulatory Intelligence, Healthcare Compliance, Regulatory Labeling, Clinical Compliance"
144,Safety Analyst,"Environmental Health and Safety (EHS), HSE (Health, Safety, Environment), Health and Safety,Safety Management System, Environment, Health, Safety and Quality (EHSQ)","EHS Cordinator, Environmental Safety, EH&S, safety cordinator,HES, EMS,Safety Analyst, EHS Analyst, HSE, OHS, OSHA, ISO 45001, ISO 14001, NEBOSH, IOSH, Risk Assessment, Job Hazard Analysis, JHA, Root Cause Analysis, RCA, Safety Audit Workplace Safety, Environmental Compliance, Industrial Safety, Emergency Preparedness, Hazard Identification, HIRA, CAPA, Corrective and Preventive Actions"
145,Sailpoint,Identity and Access Management (IAM),"Sailpoint, Sail Point"
146,Sales executive,"Sales Executive, CRM, Marketing Executive","Sales, CRM, Account, Marketing"
147,Salesforce Developer,"Salesforce Admin, Salesforce, CRM,Salesforce Technical Lead ,Salesforce Solution Architect,Salesforce Platform Developer II,Salesforce Release/Deployment Specialist,Salesforce QA/Test Engineer ,Salesforce Support Engineer /Admin Support,Salesforce Project Coordinator / Delivery Lead,Salesforce data analyst , salesforce engineer ,Salesforce marketing cloud , Salesforce vlocity , Salesforce CPQ developer,CRM Developer ,CRM Consultant ,CRM Business Analyst ,CRM Solution Architect ,CRM Data Analyst ,CRM Integration Specialist 	,CRM Project Manager ,Customer Success / CRM Operations Manager","Salesforce, CRM, Sales force"
148,SAP,"SAP Basis, SAP MM, SAP HANA, Supply Chain, Order to cash, Procure to Pay, Procurement, Inventory, Operations, Logistics","SAP, SAP MM, SAP Logistics, SAP Procurement, SAP HANA, SAP S/4 HANA, SAP S4 HANA, OTC, Order to Cash, P2P, Procure to Pay, Purchasing Analyst, Purchasing Specialist, Purchasing, Procurement Analyst, Procurement Specialist, Procurement, Strategic Sourcing Analyst, Demand & Supply, Supply Chain Analyst, Supply Chain, Vendor Data, Master Data, Vendor, Inventory Analyst, Inventory Control Specialist, Inventory Management Analyst, Inventory, Stock Control Analyst, Operations Analyst, Operations Specialist, Operations, Continuous Improvement Specialist, Process Analyst, Process Specialist, Logistics Analyst, Logistics Coordinator, Logistics, Transportation Analyst, Freight Analyst, Freight Specialist, Supply Chain Specialist"
149,Sap basis and security,"SAP Basis, SAP, Security Engineer, Supply Chain Analyst","SAP Basis, SAP NetWeaver, SAP System, SAP Technical Consultant, SAP MM, SAP Logistics, SAP Procurement, SAP HANA, SAP S/4 HANA, SAP S4 HANA, SAP Module, SAP, SAP SD, SAP, OTC, Order to Cash, P2P, Procure to Pay, Purchasing Analyst, Purchasing Specialist, Purchasing, Procurement Analyst, Procurement Specialist, Procurement, Strategic Sourcing Analyst, Demand & Supply, Supply Chain Analyst, Supply Chain, Vendor Data, Master Data, Vendor, Inventory Analyst, Inventory Control Specialist, Inventory Management Analyst, Inventory, Stock Control Analyst, Operations Analyst, Operations Specialist, Operations, Continuous Improvement Specialist, Process Analyst, Process Specialist, Logistics Analyst, Logistics Coordinator, Logistics, Transportation Analyst, , Freight Analyst, Freight Specialist, Supply Chain Specialist"
150,SAP MM,"SAP MM Consultant, SAP MM Functional Consultant, SAP Materials Management Consultant, SAP MM Analyst, SAP Procurement Consultant, SAP P2P Consultant, SAP S/4HANA MM Consultant, SAP S/4 Procurement Consultant, SAP MM Techno-Functional Consultant, SAP MM Business Analyst, SAP MM Implementation Consultant","SAP MM, SAP Materials Management, Procure to Pay, P2P, SAP S/4HANA MM, SAP Procurement, SAP Purchasing, SAP Inventory Management, Purchase Requisition, Purchase Order, Goods Receipt, Invoice Verification, Vendor Master Data, Material Master Data, Source List, Quota Arrangement, Pricing Conditions, Stock Management, Procurement, Inventory Control, Warehouse Management, Supply Chain, Vendor Management, SAP Integration, IDoc, SAP Ariba"
151,Scrum Master,"Business Analyst, Data Analyst","Agile, Scrum, Delivery Coordinator, Delivery Lead, Delivery Manager, Delivery, Kanban, Business, Business Analyst, Business Intelligence, BI, Data Analyst, Data Platform Engineer, Reporting Analyst, BI, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization Engineer, Power BI, Business Intelligence, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Business analyst"
153,ServiceNow Developer,"Servicenow, ITSM, ITOM","Service Now, ServiceNow, ITSM Developer, ITOM Developer, SNOW, SN Developer, Application, Tech Consultant, Technology Consultant"
154,Software Developer,"Java Developer, Software Engineer,","Application Developer, Application, Backend, Software Architect, Software Developer, Software, Programmer, Developer, Back End, back-end, Java, J2EE, Spring Developer, developer, frontend, backend, web, fullstack, front-end, back-end, full-stack, front end, back end, full stack, Software Architect, Software Development Engineer, SDE, Software Engineer, Software Programmer, Developer, Platform Engineer, Platform Technologist, Systems Engineer, Systems Technologist, Tech Consultant, Technology Consultant, software, developer, web, developer"
155,Software Engineer,"Software Developer, python developer","Application, Backend, Frontend, Software Architect, Software Development Engineer, SDE, Software Engineer, Software Programmer, Developer, Platform Engineer, Platform Technologist, Tech Consultant, Technology Consultant, Back End, Front End, Back-end, Front-end,software,developer,web, fullstack,developer, Python"
156,Supply Chain,"Procurement, Inventory, Operations, Logistics","Supply Chain Analyst, Supply Chain, Demand & Supply Planner, Inventory Analyst, Logistics Analyst, Procurement Analyst, Operations Analyst, Operations Specialist, procurement, material, planner, logistic, inventory, buyer, seller, analyst, procurement"
157,Tax analyst,"Tax Associate, Tax Consultant, Corporate Tax Analyst, Indirect Tax Specialist, Tax Accountant, Tax Compliance Analyst, Transfer Pricing Analyst","Tax, Analyst, Associate, Consultant, Compliance Analyst, Accountant, Corporate Tax, Indirect Tax, Direct Tax, Transfer Pricing, International Tax, Advisor, Coordinator, Planning, Tax Reporting, Tax Operations, State and Local Tax, SALT, Federal Tax, Income Tax, Global Tax, Tax Staff, Officer, Administrator, Staff Tax Analyst, Compliance, Strategy, Technology Analyst, M&A, Transaction Tax, Transaction, Excise Tax, Excise, VAT"
158,UX Designer,"Product Designer, UI/UX Designer, UX/UI Designer, UX Researcher, UI Designer, Experience Designer, Interaction Designer, Usability Designer, Visual Designer, Digital Product Designer ","UX, UI, UX Designer, UI/UX Designer, UX/UI Designer, Product Designer, User Experience Designer, User Interface Designer, UI Designer, Interaction Designer, Experience Designer, UX Researcher, UX Architect, UX Specialist, UX Strategist, Digital Designer, Visual UX Designer, Creative UX Designer, Usability Designer, Human-Centered Designer, Information Architect, User-Centered Designer"
159,Workday Analyst,"Workday, HRIS, Payroll analyst, Compensation Analyst, Benefits analyst","Workday Analyst, Workday Integration Developer, Workday Consultant, Workday Developer, Workday administrator, workday Implementation Consultant workday Hris Analyst, Workday HCM Consultant, Workday Integration Consultant, Workday Financial Consultant, Workday Analyst, Workday Functional Analyst, Workday HCM Analyst, Workday, Compensation & Benefits, Compensation, Benefits, Payroll Administrator, Payroll Analyst, Payroll Specialist, Payroll, Compensation Analyst, Compensation Specialist, Finance Operations, HR Operations, ERP Analyst, ERP Specialist, ERP, HR Analyst, HR Specialist, HRIS Analyst, HRIS Specialist, HRIS, Financial Analyst, Financial, Fraud"
161,Big Data Engineer,"Data Engineer, Database Engineer, SQL Developer, ETL Developer, Business Intelligence Engineer","Big Data, Data Engineer, Data Pipeline Engineer, Data Platform Engineer, ETL, Big Data, Analytics Engineer, Analytics Technologist, Cloud Data Technologist, DataOps, Database Engineer, SQL, database, Business Intelligence"
165,Security Engineer,"Cybersecurity, Cyber security, Information Security Engineer, Security Analyst, SOC Engineer, Security Consultant, Cloud Security Engineer","Security Engineer, Cybersecurity, Cyber security,InfoSec, Security Operations, SOC Analyst, Cloud Security, Application Security, Threat Analyst, Security Operations Center, Security Specialist, Security Architect, Vulnerability Management, Identity & Access Management, Network Security, Security Monitoring"
172,Sustainability analyst,"Sustainability analyst, ESG Analyst, Environmental Analyst, Climate Analyst, CSR Analyst, Energy Analyst, Corporate Sustainability Specialist","Sustainability, ESG, Environmental, Climate, Renewable Energy, CSR, Corporate Responsibility, Sustainability Reporting, Carbon Analyst, Energy Efficiency, Green Initiatives, Climate Risk, Environmental Policy, Sustainable Finance, Net Zero, Circular Economy"
173,Quality Assurance Engineer,"QA Tester, Software Tester, Test Engineer, Validation Engineer, Quality Engineer, QA Specialist","Quality Assurance, QA, Software Tester, Test Engineer, QA Analyst, Manual Tester, Quality Specialist, Software Quality, Test Validation, Verification, Product Quality, Release Quality, Test Execution, QA Engineer"
175,Game Developer,"Unity Developer, Gameplay, Shader Engineer, Extended Reality Developer, Augmented Reality Developer, Virtual Reality Developer, AR Developer, VR Developer, Unreal Engine, Unreal Developer, Technical Artist","Game, Unity Developer, Gameplay, Shader Engineer, Extended Reality, Augmented Reality, Virtual Reality, AR Developer, VR Developer, Unreal Engine, Unreal, Technical Artist"
176,QA Automation Engineer,"Test Automation Engineer, SDET, Software Development Engineer in Test, Automation Tester, QA Developer, Automation Specialist","QA Automation, Test Automation, Automation Engineer, Selenium, Cypress, Playwright, SDET, Automated Testing, Software Test, Test Scripts, Test Frameworks, Continuous Testing, Quality Automation, Automation Developer, CI/CD Testing"
182,DevOps Internships,"DevOps, Cloud Engineer","DevOps Engineer, DevOps Architect, DevOps Consultant, DevOps Specialist, DevOps Automation Engineer, DevOps Infrastructure Engineer, DevOps, DevSecOps, DevOps Security, DevOps & Security Automation, Cloud Security & DevOps, Cloud DevOps, AWS DevOps, Azure DevOps, GCP DevOps, Kubernetes DevOps Engineer, Platform Engineer, Site Reliability Engineer, SRE, SRE/DevOps, SRE Architect, Infrastructure Engineer, Infrastructure Reliability, DevOps & Release, CI/CD, Infrastructure Automation, Cloud Automation, Infrastructure as Code (IaC), Systems Engineer DevOps. Build and Release, Cloud Engineer, Cloud Operations, Platform Support Engineer, Automation Engineer, Systems Engineer, Site Reliabilty, Cloud, AWS Devops, Build and Release Engineer, CI/CD, Cloud Operations, Platform Support, Infrastructure, Automation Engineer, Systems"
185,Data Center Technician,"Data Center Engineer, Data Center Operations Technician, Data Center Support Technician, Data Center Specialist, IT Infrastructure Technician, Server Technician, Hardware Technician, Network Technician (Data Center), NOC Technician, NOC Engineer (Entry Level), IT Support Technician (Data Center), Rack and Stack Technician, Deployment Technician, Field Technician (Data Center), Systems Technician, Infrastructure Support Engineer, Data Center Operations Engineer, DC Technician, Data Center Maintenance Technician, Network Operations Technician","Data Center Operations, Data Center Infrastructure, Server Installation, Rack and Stack, Cabling, Structured Cabling, Fiber Optics, Network Cabling, Patch Panels, Hardware Installation, Server Hardware, Troubleshooting, Hardware Troubleshooting, Network Troubleshooting, IT Support, Infrastructure Support, Data Center Maintenance, Preventive Maintenance, Incident Management, Ticketing Systems, Monitoring, Network Monitoring, Server Monitoring, Power Management, UPS, PDU, Cooling Systems, HVAC (Data Center), IP Addressing, TCP/IP, LAN, WAN, Switching, Routing, Cisco, Juniper, Firewall Basics, Remote Hands, Asset Management, Inventory Management, Documentation, SLA, Escalation Handling"
191,Cloud Engineer,"Cloud Engineer, Linux, IT Support, DevOps, Customer Cloud Support","Cloud Security & DevOps, Cloud, AWS, Azure, GCP, Kubernetes, Platform Engineer, Infrastructure Engineer, Infrastructure Reliability, Infrastructure Automation, Cloud Automation, Infrastructure as Code, IaC,  Cloud Engineer, Cloud Operations, Platform Support Engineer, Automation Engineer, Cloud, AWS, Cloud Operations, Platform Support, Infrastructure, Automation Engineer, Linux, IT Support, Cloud, DevOps Engineer, DevOps Architect, DevOps Consultant, DevOps Specialist, DevOps Automation Engineer, DevOps Infrastructure Engineer, DevOps, DevSecOps, DevOps Security, DevOps & Security Automation, Cloud Security & DevOps, Cloud DevOps, AWS DevOps, Azure DevOps, GCP DevOps, Kubernetes DevOps Engineer, Platform Engineer, Site Reliability Engineer, SRE, SRE/DevOps, SRE Architect, Infrastructure Engineer, Infrastructure Reliability, DevOps & Release, CI/CD, Infrastructure Automation, Cloud Automation, Infrastructure as Code (IaC), Systems Engineer DevOps. Build and Release, Cloud Engineer, Cloud Operations, Platform Support Engineer, Automation Engineer, Systems Engineer, Site Reliabilty, Cloud, AWS Devops, Build and Release Engineer, CI/CD, Cloud Operations, Platform Support, Infrastructure, Automation Engineer"
194,MLOps Engineer,"Machine Learning Engineer, Artificial Intelligence, AI Infrastructure Engineer, DataOps Engineer, ML Platform Engineer, ML Systems Engineer, AI DevOps Engineer, Model Deployment Engineer, ML Pipeline Engineer","MLOps Engineer, ML Engineer, Machine Learning Engineer, Artificial Intelligence, AI Engineer, ML Platform Engineer, ML Systems Engineer, ML Infrastructure Engineer, DataOps Engineer, ML DevOps, AI DevOps, Model Deployment Engineer, Model Operations Engineer, Machine Learning Operations, Model Monitoring Engineer, MLflow, Kubeflow, Vertex AI, SageMaker, Azure ML, ML Pipeline Engineer, ML Automation Engineer, Model Serving Engineer, ML Lifecycle Engineer, ML Platform Developer, Continuous Training Engineer, Model Governance, Feature Store Engineer, ML Observability, ML CI/CD, ML Infrastructure Developer, Machine Learning, DevOps, ML, AI, Artificial Intelligence, CI/CD"
195,Software/Hardware Asset Management Analyst,"IT Asset Management Analyst, SAM Analyst, HAM Analyst, ITAM Specialist, IT Asset Coordinator, IT Operations Analyst, Configuration Management Analyst, License Compliance Analyst","IT Asset Management, ITAM, Software Asset Management, Hardware Asset Management, SAM, HAM, Asset Lifecycle, License Compliance, CMDB, Configuration Management, ServiceNow ITAM, ServiceNow SAM, IT Procurement, Software Licensing, Asset Inventory, Hardware Inventory, Asset Governance, ITSM, ITIL, IT Governance, Vendor Management, IT Operations, License Optimization, Contract Compliance, IT Audit, Asset, ServiceNow"
199,Actimize Developer,"Actimize Engineer, AML Developer, Financial Crime Technology Specialist, Compliance Technology Developer, Risk & Compliance Engineer, RCM Developer, Actimize Consultant, Actimize Technical Analyst, AML Solutions Engineer","Fraud, Actimize, AML, Actimize Developer, Actimize Engineer, NICE Actimize, AML Developer, AML Engineer, Financial Crime, Compliance, Actimize RCM, RCM, AIS, UDM, Transaction Monitoring, Fraud Detection, Sanctions Screening, Suspicious Activity Monitoring, Compliance Systems, Risk Case Management, Risk Management, Regulatory Technology, RegTech, AML Technology, AML Compliance, Financial Crime Prevention, AML Platform Engineer, Compliance Tech Engineer, Risk & Compliance Systems Developer, Actimize Support Engineer, Actimize Customization, Actimize Integration, Compliance Automation, Financial Crime Analytics, Transaction Surveillance, AML Tech Specialist"
200,Structural Engineer,"Structural Engineer, Civil Structural Engineer, Structural Design Engineer, Bridge Engineer, Construction Engineer, Structural Analysis Engineer, Structural Consultant, Civil Design Engineer, Infrastructure Engineer, Structural Project Engineer","Structural Engineer, Civil Structural Engineer, Structural Design Engineer, Structural Analysis, STAAD Pro, ETABS, SAP2000, Tekla Structures, Revit, AutoCAD, Civil 3D, Building Design, Bridge Design, Foundation Design, Reinforced Concrete, Steel Structures, Load Calculations, Earthquake Engineering, Seismic Design, Structural Modelling, Finite Element Analysis, Construction Engineering, Infrastructure Design, Structural Detailing, Design Calculations, Structural Drafting, Civil Engineering Design, Building Information Modelling (BIM), Structural Safety, Structural Assessment, Retrofitting, Structural Project Engineer"
202,Technical program Management,"Technical Program Manager, Project Manager, Product Manager, Project Engineer","Technical Program Manager, Project Manager, Product Manager, Project Engineer, Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Coordinator, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer,Project, Product, Program"
203,Project Coordinator,"Project Coordinator, Product Owner, Product Analyst, Strategy associate, Project Management, Project Engineer, Product Manager","Product manager, product owner, product analyst, strategy associate, Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer, Project, Product, Program"
204,Quality Analyst,"GMP Quality Analyst, GMP, Regulatory Compliance Analyst, Quality Assurance, Quality Control, QA/QC, Quality Compliance, Validation Analyst","Quality Analyst, Quality Control, QC, Pharmaceutical Quality, GMP, cGMP, GLP, GxP, GCP, Quality Systems, Quality Management, QMS, Deviation Management, CAPA, Change Control, Document Control, Batch Review, Validation, Laboratory Quality, Audit Support, FDA Compliance, ISO 9001, WHO GMP, Regulatory Compliance, Pharma Manufacturing, QC Analyst, LIMS, SOP, Good Manufacturing Practices, Good Clinical Practices, Good Laboratory Practices"
208,Agronomy Operations,"Agronomist, Crop Advisor, Agricultural Operations Specialist, Agribusiness Operations Analyst, Precision Agriculture Specialist, Farm Operations Manager, Crop Production Specialist, Agricultural Scientist","Agronomy, Agronomist, Crop Science, Crop Management, Field Operations, Farm Management, Soil Science, Precision Agriculture, Sustainable Agriculture, Irrigation Management, Fertilizer Management, Crop Advisory, Pest Management, Seed Technology, Plant Nutrition, Field Trials, AgTech, Agribusiness, Crop Protection, Agricultural Operations, Sustainable Farming, Yield Optimization, Agricultural Extension, Crop Monitoring, Remote Sensing, Farm Data Analysis, Agriculture Research, Agrochemicals, Crop Production Planning, Field Data Collection, GIS in Agriculture"
212,Epic Analyst,"EHR Analyst, EMR Analyst, Clinical Systems Analyst, Healthcare IT Analyst ","Epic, Epic Analyst, Epic Systems, Epic EHR, Epic EMR, Epic Application Analyst, Epic Implementation, Epic Support, EpicCare, Epic Resolute, Epic Beacon, Epic Clarity, Epic Bridges, Epic Cadence, Epic Willow, Epic Radiant, Epic MyChart, Epic Tapestry, Epic Prelude, Epic Grand Central, Epic Orders, EHR Systems, EMR Systems, Clinical Applications, Healthcare IT, Health Informatics, Healthcare Systems, HIS Analyst, EHR Implementation, Healthcare Data Analyst, Healthcare Applications Specialist, Clinical Informatics, Epic Training, Epic Patient Access, Epic revenue"
213,Dynamics 365,"Dynamics CRM, Power Platform Engineer, Microsoft Business Applications Specialist","Dynamics 365, Microsoft Dynamics, Dynamics CRM, Dynamics ERP, Dynamics 365 Finance & Operations, D365 F&O, Dynamics 365 Business Central, Dynamics 365 Sales, Dynamics 365 Customer Service, Dynamics 365 Marketing, Dynamics 365 Field Service, Dynamics 365 Supply Chain, Dynamics AX, Dynamics NAV, Power Platform, Power Apps, Power Automate, Power BI, Dataverse, Microsoft Flow, CRM Customization, ERP Configuration, Plugin Development, X++, C#, .NET, Azure Integration, Solution Design, Functional Consultant, Technical Consultant, CRM Implementation, ERP Implementation, Business Applications, D365 Developer, Dynamics Integration, API Integration, Cloud ERP, Dynamics Support, Dynamics Deployment"
214,Project Management,"Project Management, Program Manager, Project Engineer","Project Manager, Technical Delivery Manager, Delivery Coordinator, Delivery Lead, Delivery Manager, Program Coordinator, Program Lead, Program Manager, Project Coordinator, Scrum Master, PMO, Project Management, Project Support, Project Lead, Project Assistant, Project Delivery Engineer, Project Engineer, Technical Project Engineer, Project, Product manager, product, Program manager"
219,Quality Analyst,"Quality Analyst, GMP, Regulatory Compliance Analyst, Quality Assurance, Quality Control, QA/QC, Quality Compliance, Validation Analyst","Quality Analyst, Quality Control, QC, Pharmaceutical Quality, GMP, cGMP, GLP, GxP, GCP, Quality Systems, Quality Management, QMS, Deviation Management, CAPA, Change Control, Document Control, Batch Review, Validation, Laboratory Quality, Audit Support, FDA Compliance, ISO 9001, WHO GMP, Regulatory Compliance, Pharma Manufacturing, QC Analyst, LIMS, SOP, Good Manufacturing Practices, Good Clinical Practices, Good Laboratory Practices"
225,Business Intelligence Engineer Internships,"Product Analyst Intern, Business Analyst Intern, Growth Analyst Intern, Product operations Intern","Business Intelligence, Business Insights, Analytics Engineer, Product Analytics, Analytics Engineer, Analytics Technologist, Data Analyst, Data Platform Engineer, Reporting Analyst, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization, Power BI, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Wealth Management, Data Analyst, Data Platform Engineer, Reporting Analyst, Operations Analyst, Operations Specialist, Product Analyst, Product Specialist, Reporting, Analytics Visualization, Power BI, Business Intelligence, Data Specialist, Tableau, Visualization, Dashboard, Data Visualization, Analytics Consultant, Power BI/Tableau Developer, Business analyst"
228,Medical Affairs,"Medical Science, MSL, Medical Advisor, Clinical Affairs, Medical Information Specialist, Scientific Affairs, Epidemiology,Biostatistics,Key stone manager","Medical Affairs, Medical Science Liaison, MSL, Medical Advisor, Clinical Affairs, Scientific Affairs, Medical Information, KOL Engagement, Key Opinion Leaders, Clinical Trials Support, Real World Evidence, RWE, Evidence Generation, Medical Strategy, Medical Communications, Publications, Medical Education, Investigator Meetings, Scientific Exchange, Medical Compliance, Pharmacovigilance Support, Drug Safety, Regulatory Affairs Interface, Life Sciences, Pharmaceutical Medical Affairs"
